sku,rev,ord,rev_rank,ord_rank,low_rotation_flag,dead_flag
J0004-SKD-XXXL,42222.0,38,396.0,786.5,0,0
J0005-DR-B-M,2697.0,3,4370.0,5335.5,0,0
J0005-DR-L,63948.53,71,203.0,314.5,0,0
J0005-DR-M,10989.76,12,1859.0,2615.5,0,0
J0005-DR-S,68682.57,77,179.0,277.0,0,0
J0005-DR-XL,49341.59,56,310.0,460.0,0,0
J0005-DR-XS,31171.75,33,611.0,945.5,0,0
J0005-DR-XXL,34802.77,39,527.0,761.5,0,0
J0005-DR-XXXL,48192.76,54,324.0,489.5,0,0
J0006-SET-L,51362.34,62,286.0,393.5,0,0
J0006-SET-M,76097.95,91,145.0,213.5,0,0
J0006-SET-S,52642.04,64,276.0,374.0,0,0
J0006-SET-XL,55095.48,68,254.0,337.0,0,0
J0006-SET-XS,16007.0,19,1343.0,1731.0,0,0
J0006-SET-XXL,34915.76,44,524.0,657.0,0,0
J0006-SET-XXXL,41111.0,49,413.0,570.0,0,0
J0007-SKD-L,13710.0,16,1534.0,2039.0,0,0
J0007-SKD-M,21333.78,20,994.0,1651.5,0,0
J0007-SKD-S,10753.89,10,1898.0,2967.0,0,0
J0007-SKD-XL,30000.0,28,650.0,1147.0,0,0
J0007-SKD-XS,6682.0,7,2677.0,3717.5,0,0
J0007-SKD-XXL,15955.0,17,1349.0,1923.5,0,0
J0007-SKD-XXXL,20993.0,21,1009.0,1576.5,0,0
J0008-SKD-L,149970.0,143,36.0,99.5,0,0
J0008-SKD-M,184202.89,182,24.0,58.0,0,0
J0008-SKD-S,152094.25,145,35.0,97.0,0,0
J0008-SKD-XL,98473.0,97,85.0,197.5,0,0
J0008-SKD-XS,146420.82,141,38.0,102.0,0,0
J0008-SKD-XXL,75007.0,72,149.0,307.5,0,0
J0008-SKD-XXXL,53600.0,50,268.0,554.5,0,0
J0009-SKD-L,44986.0,57,363.0,447.0,0,0
J0009-SKD-M,41192.14,50,412.0,554.5,0,0
J0009-SKD-S,26297.0,30,781.0,1061.0,0,0
J0009-SKD-XL,31070.57,37,613.0,816.5,0,0
J0009-SKD-XS,12831.0,15,1632.0,2166.0,0,0
J0009-SKD-XXL,18610.0,24,1149.0,1377.5,0,0
J0009-SKD-XXXL,27862.14,34,717.0,912.5,0,0
J0010-LCD-L,19695.86,18,1073.0,1819.5,0,0
J0010-LCD-M,31997.43,31,589.0,1019.5,0,0
J0010-LCD-S,34435.44,37,537.0,816.5,0,0
J0010-LCD-XL,8322.0,8,2303.0,3433.0,0,0
J0010-LCD-XS,18565.43,20,1152.0,1651.5,0,0
J0010-LCD-XXL,8533.0,9,2272.0,3188.5,0,0
J0010-LCD-XXXL,17579.0,17,1226.0,1923.5,0,0
J0011-LCD-A-L,3390.0,2,3959.5,5959.0,0,0
J0011-LCD-M,51465.28,37,283.0,816.5,0,0
J0011-LCD-S,43455.78,29,383.0,1109.0,0,0
J0011-LCD-XL,20199.39,13,1047.0,2460.0,0,0
J0011-LCD-XS,24567.14,17,853.0,1923.5,0,0
J0011-LCD-XXL,13995.0,9,1509.0,3188.5,0,0
J0011-LCD-XXXL,16051.39,11,1337.0,2774.0,0,0
J0012-SKD-L,85211.0,77,118.0,277.0,0,0
J0012-SKD-M,76963.0,72,141.0,307.5,0,0
J0012-SKD-S,37230.0,33,476.0,945.5,0,0
J0012-SKD-XL,96193.0,87,94.0,226.5,0,0
J0012-SKD-XS,44613.0,42,366.0,698.0,0,0
J0012-SKD-XXL,78054.0,71,137.0,314.5,0,0
J0012-SKD-XXXL,57693.54,52,233.0,526.5,0,0
J0013-SKD-L,41942.11,42,399.0,698.0,0,0
J0013-SKD-M,41866.0,41,401.0,718.0,0,0
J0013-SKD-S,20585.0,20,1029.0,1651.5,0,0
J0013-SKD-XS,19237.52,19,1103.0,1731.0,0,0
J0013-SKD-XXL,35765.25,34,500.0,912.5,0,0
J0013-SKD-XXXL,35618.14,29,504.0,1109.0,0,0
J0014-LCD-L,13751.0,10,1529.0,2967.0,0,0
J0014-LCD-M,26466.0,21,774.0,1576.5,0,0
J0014-LCD-S,27059.11,18,757.0,1819.5,0,0
J0014-LCD-XL,8297.0,6,2311.0,4040.0,0,0
J0014-LCD-XS,19652.0,13,1075.0,2460.0,0,0
J0014-LCD-XXL,5549.0,4,3036.0,4820.5,0,0
J0014-LCD-XXXL,2847.0,2,4278.0,5959.0,0,0
J0015-DR-S,1132.0,2,5759.5,5959.0,0,0
J0015-DR-XS,1132.0,2,5759.5,5959.0,0,0
J0016-DR-XS,1250.0,3,5607.0,5335.5,0,0
J0019-SET-M,566.0,1,6609.5,6746.5,0,1
J0019-SET-S,587.0,1,6570.5,6746.5,0,1
J0019-SET-XS,1750.0,3,5105.0,5335.5,0,0
J0020-SET-XL,1694.0,3,5165.0,5335.5,0,0
J0020-SET-XS,1123.0,2,5775.0,5959.0,0,0
J0020-SET-XXL,1142.0,2,5747.0,5959.0,0,0
J0020-SET-XXXL,2229.0,4,4715.0,4820.5,0,0
J0021-TP-L,1253.0,3,5602.5,5335.5,0,0
J0021-TP-XXL,628.0,2,6462.0,5959.0,0,0
J0022-KR-XS,1054.0,2,5839.0,5959.0,0,0
J0023-TP-L,6506.0,16,2720.5,2039.0,0,0
J0023-TP-S,9325.0,21,2131.0,1576.5,0,0
J0023-TP-XL,1959.0,5,4934.0,4401.5,0,0
J0023-TP-XS,3929.0,9,3673.5,3188.5,1,0
J0023-TP-XXL,11924.0,30,1744.5,1061.0,0,0
J0023-TP-XXXL,5090.0,12,3205.0,2615.5,0,0
J0024-KR-M,321.0,1,7036.5,6746.5,0,1
J0024-KR-XL,979.0,3,5966.0,5335.5,0,0
J0024-KR-XXL,321.0,2,7036.5,5959.0,0,0
J0024-KR-XXXL,605.0,1,6512.5,6746.5,0,1
J0025-DR-M,1132.0,2,5759.5,5959.0,0,0
J0025-DR-S,14751.0,24,1439.0,1377.5,0,0
